Tweets,Label
मुम्बई डोंगरी रास्ते नमाज़ पढ़कर कोरोना भगाते देश संसाधनों पहला हक़ रखने विशेष प्रजाति लोग,1
कोरोना हराना हैलॉक डाउन क्यों ज़रूरी केजीएमयू लखनऊ COVID टीम शामिल रामपुर निवासी डॉक्टर फरहान कोरोना,1
सब समझते समझ सब काम कीया कोरोना वायरस जैविक बम हमला देश कटटरपंनथीयों युद्ध,1
कोरोना वायरस युद्ध बड़ा संकट मानकर पूरी क्षमता मुकाबला राज्य मुख्यमंत्री श्री,1
“ अप्रेल मोदी जी बजे मिनट दीपक जलाने संदेश दीपक जलाएं हम परमात्मा सिमरन ताकि बाह,1
मेरठ मिलें कोरोना संदिग्ध मस्जिद रखा योगी जी अलग सिस्टम जहां बम मिलें,0
कोरोना बर्थडे जले जले तेरा पिछवाडा पहेलेसे जलने लगा,0
देखिए गुरुदेव रविशंकर जी कार्यक्रम “कोरोना हिंदुस्तान लड़ाई” आज शाम बजे,1
कोरोना संकटकाल प्रयागराज जिलाधिकारी इलाहाबाद संसदीय क्षेत्र समस्याओं बैठक चर्चा https,1
खाज हूँ खुजली हूँ दाद हूँ कोरोना कोढ़ बहता मवाद हूँ हाँ मैं कुदरती कौम ज़ाहिल मौलाना साद हूँ,0
हाँ समझाओ बिरादरी कोरोना फैलाये,0
कोरोना वायरस खिलाफ लड़ने आरक्षण वायरस खिलाफ कब लड़ोगे,0
कोरोना वायरस संक्रमण रोकथाम प्रबंधन छत्तीसगढ़ टाॅप,1
माननीय प्रधानमंत्री श्री जी इच्छानुसार कोरोना योद्धाओं समर्थन उत्साहवर्धन हेतु दीपक,1
पुलिस पीटने डॉक्टरों पत्थर मारने आम जनता थूकने लोगों सरकारी खर्च इलाज क्यों दण्ड दे सर,0
लाख रुपए खर्च अप्रैल बीच पंद्रह हजार सवर्ण परिवारों राशन कोरोना बचाव हेतु राहत सामग्री बांटा,1
कोरोना बाप भारत रात दिन लगे रहते कोरोना देश बर्बाद ताक़त रखते तुम क्या चीज़,0
मरकज़ कोरोना संक्रमित जाहिल लोग इलाज रही डॉक्टर बहनो अश्लील हरकतें थू,1
कोरोना हराने मानवता बचाने धर्म संप्रदाय जाति ऊपर उठ आदरणीय प्रधानमन्त्री जी आह्वान सफल ब,1
AarPaar शोएब जामई बोले क्या कोरोना अपराध अगर मामले तब्लीग बाकी मामले क्या अप,1
जलता दीपक नई उमंग जगाता जीवन अंधेरों दूर जाता खुद जलाकर वो राख बन जाता चारों दिशाओं,1
कोरोना भारत आकर समझ नही पा मै वायरस हूँ त्योहार,0
मुझे लगता कोरोना भारत जल्द भाग जाएगा अब समझ आ होगा भई मुझ ख़तरनाक वायरस,0
‘पैगंबर इत्र’ नाक सटा मौलवी कोरोना ईलाज दिन मरीज दोस्तों मौत  coronavirus Pro,0
हिंदोस्तान विश्वव्यापी कोरोना वायरस उपचार सिर्फ डाक्टर थोडे पुलिस करती इसलिए अगर,1
सरकारी तंत्र मरकज लोगों खोजने जुटा क्या वो खुद बाहर आ कोरोना आपके सवाल ZEE NEWS जवाब LIV,1
कोरोना BJP ज्वाइन ली उसने BJP MLA छूट दे दी मशाल जुलूस निकालो हम तुम्हारे जुलूस फैलेंगे h,0
Go कोरोना Go कोरोनावाह रे जाहिलों धन्य हो,0
सबको पड़ी इंसान सोचो हर दिन जहाज बैठता विदेशों झप्पी बाँटता भीड़ जिसके,0
स्पेन अच्छी ख़बर लगातार तीसरे दिन कोरोना वायरस संक्रमण नए मामले मिलने कमी आयी प्रतिदिन वा,1
लोग ज्ञान बांट दीपक जलाने कोरोना भागता क्या बताएंगे मोमबत्ती जलाने बलात्का,1
कोरोना लड़ाई केंद्र राज्य सरकारों महत्वपूर्ण भूमिका परंतु अधिकतर राज्य सरकारों पास संसाधनों अभा,1
कल पुरानी दिल्ली जामा मस्जिद गेट गाड़ियों टायर चुरा मीना बाज़ार कबाड़ी मार्,0
भक्तों अगले आदेश तैयार जाओ अप्रैल दोपहर बजे हवा चाकू चलाना जिससे कोरोना हाथ पैर कट जाये,1
जमात इस्लाम कुरान अल्लाह क्या कोरोना संबंध क्या,0
मोदी जी हमें वो दिखलाना घरों दिप जलाना जी हम दीए जलाएं,1
वक्त हमारी एकता दिखाने कोरोना खिलाफ हमारा साहस दिखाने कल रात ९ बजे ९ मिनट हमारे देश नाम  हम,1
गीता फोगाट मनु भाकर समेत दिग्गजों अपील कोहली बोले रात बजे मिनट दीपक जलाकर दुनिया हमारी एकता दिखाएं,0
कृपा करके हॉस्पिटल क्लीनिक मेडिकल पॅथॉलॉजि लॅब छोडके पुरा lockdown करवा डिजीए लोक बहार आना आगर बंद,1
सुना कोरोना आवाज सुनकर भाग जाए,1
छोटा सा दीपक घोर अंधकार मार्ग प्रशस्त ताकत रखता राष्ट्रहित महायज्ञ मेरी ओर,1
गुनाह पासपोर्ट था परन्तुदरबदर राशनकार्ड गए कोरोना वायरस नोट लो,0
कोरोना रफ़्तारJanuary casesJanuary casesJanuary casesMarch casesMarch,0
भारत मुसलमानों प्रति बढ़ती घृणा कहने बढ़ रही बल्कि आचरण बढ़ रही लोग,0
कोरोना लड़ाई नही युद्ध हर युद्ध भारत जीते जय हिंद,0
ITCell सरकार खुराक सब Markaj पीछे छोड़ दिए गए साहस अब पूछे मरक,0
आपके अनुसार लोग डॉक्टर पुलिस कोरोना जांच टीम पत्थर फेक खिलाफ कोनसी कार्यवाही करे,1
मीडिया बार रूम दलालों पैनल कोरोना झूम आउट करके देखा वाइरस नुनु कटा  दलाल मीडिया इ,1
भविष्य कोरोना इलाज मिल जाये वैक्सीन बन जाये वायरस इलाज सालों आजतक नही मिला,1
तरफ जहां देश कोरोना वायरस संकट लडने जुटा दूसरी तरफ तबलीगी जमात सदस्य बेहूदगी बाज,1
क्रांतिकारियों वजह आज भारत कोरोना मुक्त,1
चू गाहे बगाहे ज्ञान पेलते देश हिन्दू मुस्लिम सबका हिन्दू मुस्लिम भाई देश निर्माण मुस्लिम बरा,0
अर्थ कोरोना रोता श्वास प्रश्वास रोकने वाला संसार मानवों रोना हे विनायक वि,0
हम मोदी जी नेतृत्व सफलतापूर्वक पार्टी आगे बढ़ाएं पार्टी समाज प्रति समर्पण भाव कोरोना लड़,1
मै आज कहना चाहती हु की÷ कोरोना खत्म नमक TATA सिम JIO समान पतंजलि गाड़ी महिन्द्रा मूवी अक्,0
भाई हमने कोरोना दिवाली मनाई गर्व महसूस मोदीजी हमारे देश प्रधानमंत्री,0
हमारे प्रधानमंत्री श्री जी कोरोना लड़ने हम सब,1
बडी समस्या खडी होगी सब ठीक चुका होगा काम धन्धे शुरु होंगे काम नही मिलेंगे सबको,1
खाली स्थान पूर्ण कीजिए Follow back पाइए️कोरोना ज़्यादा खतरनाक वायरस IslamicCoronaJehad,1
आयुष्मान भारत योजना शामिल होगा कोरोना वायरस देखें खबरें फटाफट I via,1
जागरणजनमत क्या तब्लीगी जमात गतिविधियों देश कोरोना संकट बढ़ा coronavirusindia Covid Tabligh,1
जिनको लगता मिनट लाइट बंद ग्रिड फ़ेल जायगा उनसे सिर्फ सवाल कभी अर्थ आवर नाम सुना,0
ज़रा सोचिए आपका सरकार नपुंसक कोरोना संख्या वृद्धि कमी सरकार हाथों तब्लीगी हाथों,0
घटना मुरैना जिले सबलगढ़ तहसील हमारे इष्ट देव भगवन श्री परशुराम मूर्ती असामाजिक तत्वों खंडित,0
ServingTheNation कोरोना वायरस प्रसार रोकने पूरे देश लॉकडाउन संत डॉ प्रेरणा,1
राजस्थान जनता मांग मेरी ओर किए गए निवेदन विचार माननीय मुख्यमंत्री जी बिजली पानी जैसी,0
कोरोना फैलाना तुम लोगो देशभक्ति गजबे,0
चिकित्सा विभाग किसका इन्तजार महामारी कोरोना बढता कहर प्रदेश हजारों नर्सेज कमी नर्सेज ANM,1
इतिहास लिखा जाएगा देश कोरोना लड़ देश संघी मीडिया हिन्दू मुस्लिम एकता खण्डित रही मुस्लि,1
